cluster_id	group
0	good
1	good
2	good
3	mua
4	good
5	noise
6	noise
7	noise
8	noise
9	noise
10	noise
11	good
12	good
13	good
14	good
15	noise
16	noise
17	mua
18	mua
19	noise
20	good
21	good
22	good
23	good
24	good
25	good
26	good
27	good
28	good
29	good
30	good
31	good
32	good
33	good
34	noise
35	good
36	noise
37	noise
38	good
39	good
40	mua
41	good
42	noise
43	good
44	noise
45	good
46	good
47	good
48	mua
49	mua
50	good
51	good
53	good
54	good
55	good
56	noise
57	noise
58	noise
59	good
60	good
61	good
62	good
63	good
64	good
65	noise
66	good
67	good
68	good
69	good
70	noise
71	noise
73	noise
74	noise
75	noise
76	good
77	good
78	noise
79	good
80	noise
81	noise
82	noise
83	good
85	good
86	mua
87	noise
88	good
89	noise
90	good
91	good
92	good
93	good
94	good
95	noise
96	good
98	good
101	noise
102	good
104	noise
105	noise
107	noise
108	good
109	good
110	noise
111	noise
112	good
114	noise
115	noise
116	noise
118	good
119	good
121	good
