Condition,Stimulus,Odor,IFR (unit 10),IFR (unit 92),IFR (unit 93),IFR (unit 98),IFR (unit 125),peak (by Con+stim),,,,,
CON,HC,C,0,0.22,0,0.56,0.22,5,2,2,2,4,
CON,HC,S1,0.06,0.04,0,0.02,0.04,2,5,2,5,5,
CON,HC,S2,0.02,0.12,0,0.44,2.4,3,3,2,3,2,
CON,HC,S3,0.02,0.28,0,1.36,4.54,3,1,2,1,1,
CON,HC,D,0.2,0.12,0.04,0.16,1.54,1,3,1,4,3,
CON,HS,C,0,0.52,1.38,0.72,0.38,2,1,2,4,1,
CON,HS,S1,0,0.34,0.88,0.18,0.14,2,4,5,5,4,
CON,HS,S2,0.02,0.5,1.2,0.8,0.36,1,2,3,2,2,
CON,HS,S3,0,0.4,1.54,0.84,0.24,2,3,1,1,3,
CON,HS,D,0,0.34,1.2,0.76,0.08,2,5,3,3,5,
ACH,HC,C,0.36,31.2,0.78,173.8,0.06,1,1,1,3,3,
ACH,HC,S1,0.06,13.2,0.2,175.68,0.08,2,2,2,1,2,
ACH,HC,S2,0,10.9,0.1,174.08,0.12,4,3,4,2,1,
ACH,HC,S3,0.02,9.38,0.12,173.56,0.04,3,4,3,4,5,
ACH,HC,D,0,7.22,0.04,170.2,0.06,4,5,5,5,3,
ACH,HS,C,0.12,21.88,0.98,128.66,0.08,1,1,1,1,2,
ACH,HS,S1,0.08,12.28,0.34,92.64,0.16,2,2,2,4,1,
ACH,HS,S2,0.02,9.44,0.32,93.58,0.06,3,3,3,3,3,
ACH,HS,S3,0,8.28,0.12,101.06,0,4,4,4,2,5,
ACH,HS,D,0,3.06,0.02,88.62,0.02,4,5,5,5,4,
,,,0.2,0.52,1.54,1.36,4.54,,,,,,
,,,0.36,31.2,0.98,175.68,0.16,,,,,,
,,,IFR (unit 10),IFR (unit 92),IFR (unit 93),IFR (unit 98),IFR (unit 125),,,,,,
CON,HC,C,0,0.423076923,0,0.411764706,0.04845815,,,,,,
CON,HC,S1,0.3,0.076923077,0,0.014705882,0.008810573,,,,,,
CON,HC,S2,0.1,0.230769231,0,0.323529412,0.528634361,,,,,,
CON,HC,S3,0.1,0.538461538,0,1,1,,,,,,
CON,HC,D,1,0.230769231,0.025974026,0.117647059,0.339207048,,,,,,
CON,HS,C,0,1,0.896103896,0.529411765,0.083700441,,,,,,
CON,HS,S1,0,0.653846154,0.571428571,0.132352941,0.030837004,,,,,,
CON,HS,S2,0.1,0.961538462,0.779220779,0.588235294,0.079295154,,,,,,
CON,HS,S3,0,0.769230769,1,0.617647059,0.052863436,,,, ,,
CON,HS,D,0,0.653846154,0.779220779,0.558823529,0.017621145,,,,,,
ACH,HC,C,1,1,0.795918367,0.989298725,0.375,,,,,,
ACH,HC,S1,0.166666667,0.423076923,0.204081633,1,0.5,,,,,,
ACH,HC,S2,0,0.349358974,0.102040816,0.990892532,0.75,,,,,,
ACH,HC,S3,0.055555556,0.300641026,0.12244898,0.987932605,0.25,,,,,,
ACH,HC,D,0,0.231410256,0.040816327,0.968806922,0.375,,,,,,
ACH,HS,C,0.333333333,0.701282051,1,0.732354281,0.5,,,,,,
ACH,HS,S1,0.222222222,0.393589744,0.346938776,0.527322404,1,,,,,,
ACH,HS,S2,0.055555556,0.302564103,0.326530612,0.532673042,0.375,,,,,,
ACH,HS,S3,0,0.265384615,0.12244898,0.575250455,0,,,,,,
ACH,HS,D,0,0.098076923,0.020408163,0.504439891,0.125,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,BASELINE,C,0.007633588,0.167938931,0.488549618,0.221374046,0.251908397,,,,,,
,MAX ODOR,,0.2,0.52,1.54,1.36,4.54,,,,,,
,BASELINE,ACH,0.048387097,8.107526882,0.198924731,146.9892473,0.048387097,,,,,,
,MAX ODOR,,0.36,31.2,0.98,175.68,0.16,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Condition,Stimulus,Odor,,,,,,,,,,,
CON,HC,C,-0.007633588,0.052061069,-0.488549618,0.338625954,-0.031908397,,0,0.052061069,0,0.338625954,0
CON,HC,S1,0.052366412,-0.127938931,-0.488549618,-0.201374046,-0.211908397,,0.052366412,0,0,0,0
CON,HC,S2,0.012366412,-0.047938931,-0.488549618,0.218625954,2.148091603,,0.012366412,0,0,0.218625954,2.148091603
CON,HC,S3,0.012366412,0.112061069,-0.488549618,1.138625954,4.288091603,,0.012366412,0.112061069,0,1.138625954,4.288091603
CON,HC,D,0.192366412,-0.047938931,-0.448549618,-0.061374046,1.288091603,,0.192366412,0,0,0,1.288091603
CON,HS,C,-0.007633588,0.352061069,0.891450382,0.498625954,0.128091603,,0,0.352061069,0.891450382,0.498625954,0.128091603
CON,HS,S1,-0.007633588,0.172061069,0.391450382,-0.041374046,-0.111908397,,0,0.172061069,0.391450382,0,0
